soa_label	protestant_trouble_deaths	catholic_trouble_deaths	total_population	urban	protestant_stronghold	catholic_stronghold	income_deprivation	violent_crime_rate	asb_rate	republican_PSAs	loyalist_PSAs	protestant_trouble_deaths_enforcement	catholic_trouble_deaths_enforcement	catholic_no_go	protestant_no_go
"Carnmoney_2"	0	0	1258	"TRUE"	"FALSE"	"FALSE"	0.048	3.5	14.9	0	0	0	0	0	0
"Cloughfern_1"	1	0	1718	"TRUE"	"FALSE"	"FALSE"	0.1	9.4	26.3	0	0	1	0	0	0
"Cloughfern_2"	0	0	1228	"TRUE"	"TRUE"	"FALSE"	0.109	13.2	36.3	0	0	0	0	0	0
"Collinbridge_1"	0	0	1697	"TRUE"	"FALSE"	"FALSE"	0.086	7.9	14.8	0	0	0	0	0	0
"Collinbridge_2"	0	0	1381	"TRUE"	"FALSE"	"FALSE"	0.068	16	56.6	0	0	0	0	0	0
"Coole"	0	0	2409	"TRUE"	"TRUE"	"FALSE"	0.165	19.2	38.2	1	0	0	0	0	0
"Doagh_1"	0	0	1840	"FALSE"	"TRUE"	"FALSE"	0.092	4.3	13.1	0	1	0	0	0	0
"Doagh_2"	0	0	1834	"FALSE"	"TRUE"	"FALSE"	0.118	5.8	17.8	0	0	0	0	0	0
"Dunanney"	0	0	2262	"TRUE"	"TRUE"	"FALSE"	0.172	15.6	27.1	1	3	0	0	0	0
"Glebe_1_Newtownabbey"	0	0	1661	"TRUE"	"FALSE"	"FALSE"	0.097	7.5	22	0	0	0	0	0	0
"Glebe_2_Newtownabbey"	0	0	1655	"TRUE"	"FALSE"	"FALSE"	0.082	4.4	13.3	0	0	0	0	0	0
"Glengormley_1"	0	0	1668	"TRUE"	"FALSE"	"FALSE"	0.072	15.9	80.5	0	0	0	0	0	0
"Glengormley_2"	0	0	1297	"TRUE"	"FALSE"	"FALSE"	0.143	17.7	47.5	0	0	0	0	0	0
"Hawthorne"	0	0	2266	"TRUE"	"TRUE"	"FALSE"	0.09	10.7	30.9	0	0	0	0	0	0
